wtM_koH_1,wtM_koH_2,wtH_koM_1,wtH_koM_2,Log2_FC,STDEV,Location,t_test,T-test Difference ,T-test Significant ,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Score,Intensity L,Intensity M,Intensity H,Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers
5.460719109,3.949845314,5.433293343,4.833193779,4.919262886,0.708185586,"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.",0.000807384,4.919262886,+,6,15.9,15.9,15.9,48.282,57.92,26208000,190560000,277430000,Q9NP70,Q9NP70,Ameloblastin,AMBN,sp|Q9NP70|AMBN_HUMAN Ameloblastin OS=Homo sapiens OX=9606 GN=AMBN PE=1 SV=1
3.986879349,4.099271774,4.996659756,3.962733984,4.261386216,0.493779791,"Lumenal side {ECO:0000250|UniProtKB:Q63083}. Cytoplasm {ECO:0000250|UniProtKB:Q63083}. Secreted {ECO:0000250|UniProtKB:Q63083}. Note=A small fraction of the protein may be cytoplasmic. {ECO:0000250|UniProtKB:Q63083}.;Peripheral membrane protein {ECO:0000250|UniProtKB:Q63083};SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000250|UniProtKB:Q63083}",0.000423745,4.261386216,+,20,44,44,42.5,53.879,323.31,1236900000,3989100000,7361400000,Q02818,Q02818,Nucleobindin-1,NUCB1,sp|Q02818|NUCB1_HUMAN Nucleobindin-1 OS=Homo sapiens OX=9606 GN=NUCB1 PE=1 SV=4
3.382144928,4.166567326,3.223283529,3.077721357,3.462429285,0.485608498,"SUBCELLULAR LOCATION: [Isoform 1]: Golgi apparatus lumen {ECO:0000250|UniProtKB:Q61112}.;SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000269|PubMed:17442889}. Cell membrane {ECO:0000269|PubMed:17442889}. Cell projection, bleb. Note=Isoform 5 colocalizes with STX3 and STXBP1 isoform 2 at the plasma membrane and cell surface blebs. {ECO:0000269|PubMed:17442889}.",0.000747242,3.462429285,+,10,27.9,27.9,27.9,41.806,98.904,91183000,333220000,688030000,Q9BRK5,Q9BRK5,45 kDa calcium-binding protein,CAB45,sp|Q9BRK5|CAB45_HUMAN 45 kDa calcium-binding protein OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1
5.945104122,0.713355362,NaN,NaN,3.329229742,3.699405025,Cytoplasm,0.423975215,3.329229742,,3,29.8,29.8,29.8,9.461,26.161,17480000,20557000,2098300,P42677;Q71UM5,P42677,40S ribosomal protein S27,RPS27,sp|P42677|RS27_HUMAN 40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3
2.869648933,3.913890123,3.02789712,2.87609458,3.171882689,0.500047573,Peripheral membrane protein {ECO:0000269|PubMed:11749975}. Cytoplasm {ECO:0000269|PubMed:11749975}. Secreted {ECO:0000269|PubMed:11749975}. Endoplasmic reticulum {ECO:0000250}. Nucleus envelope {ECO:0000250}. Note=Golgi retention is mediated by its N-terminal region.;SUBCELLULAR LOCATION: [Nesfatin-1]: Secreted.;SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:11749975}. Membrane {ECO:0000269|PubMed:11749975},0.001056412,3.171882689,+,12,37.6,36,36,50.222,187.5,171000000,969970000,1932600000,P80303,P80303,Nucleobindin-2;Nesfatin-1,NUCB2,sp|P80303|NUCB2_HUMAN Nucleobindin-2 OS=Homo sapiens OX=9606 GN=NUCB2 PE=1 SV=3
3.00277257,NaN,2.421505928,3.824462414,3.082913637,0.704903304,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17040209}. Cytoplasmic vesicle, secretory vesicle lumen {ECO:0000305|PubMed:17040209}. Perikaryon {ECO:0000269|PubMed:17040209}.",0.016984003,3.082913637,+,8,18.5,18.5,18.5,46.426,57.573,27430000,185520000,309390000,Q99574,Q99574,Neuroserpin,SERPINI1,sp|Q99574|NEUS_HUMAN Neuroserpin OS=Homo sapiens OX=9606 GN=SERPINI1 PE=1 SV=1
2.536000967,2.614314795,3.149698257,3.114250422,2.85356611,0.323387987,"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix. Note=Found mainly at the interface between amorphous elastin and microfibrils.",0.000396635,2.85356611,+,24,23.3,23.3,23.3,115.69,323.31,208370000,1117800000,1871500000,Q9BXX0,Q9BXX0,EMILIN-2,EMILIN2,sp|Q9BXX0|EMIL2_HUMAN EMILIN-2 OS=Homo sapiens OX=9606 GN=EMILIN2 PE=1 SV=3
NaN,NaN,2.526394367,2.84691453,2.686654449,0.22664198,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:19836239}. Nucleus speckle {ECO:0000269|PubMed:19836239}.",0.037929696,2.686654449,+,2,7.5,7.5,7.5,35.818,16.83,31848000,1409800,7547400,Q96QD9,Q96QD9,UAP56-interacting factor,FYTTD1,sp|Q96QD9|UIF_HUMAN UAP56-interacting factor OS=Homo sapiens OX=9606 GN=FYTTD1 PE=1 SV=3
2.548100471,NaN,2.791793346,2.701038837,2.680310885,0.123161643,"SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.;SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P32018}.",0.000703074,2.680310885,+,43,28.2,28.2,28.2,193.51,323.31,4219600000,5278500000,8009800000,Q05707;Q8IWI9,Q05707,Collagen alpha-1(XIV) chain,COL14A1,sp|Q05707|COEA1_HUMAN Collagen alpha-1(XIV) chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3
1.966009736,NaN,3.36513257,2.68715024,2.672764182,0.699672349,"SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:18264092, ECO:0000269|PubMed:18417469, ECO:0000269|PubMed:19084021}.",0.022088643,2.672764182,+,7,15.3,15.3,15.3,75.561,50.981,307420000,62899000,77285000,Q13438,Q13438,Protein OS-9,OS9,sp|Q13438|OS9_HUMAN Protein OS-9 OS=Homo sapiens OX=9606 GN=OS9 PE=1 SV=1
2.602613211,2.552664042,NaN,NaN,2.577638626,0.035319396,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17353262, ECO:0000269|PubMed:28002403}. Note=Moves from the nucleoli to the global nuclear chromatin upon DNA damage. {ECO:0000269|PubMed:28002403}.",0.006167977,2.577638626,+,2,3,3,3,69.476,11.959,1671600,10451000,1341200,P18887,P18887,DNA repair protein XRCC1,XRCC1,sp|P18887|XRCC1_HUMAN DNA repair protein XRCC1 OS=Homo sapiens OX=9606 GN=XRCC1 PE=1 SV=2
2.386619329,2.364459276,2.708076954,2.407461405,2.466654241,0.161903383,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12154076}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:16157329}. Note=Secretion occurs after coexpression with TGFB1 and requires complexing with 'Cys-33' of the TGFB1 propeptide. {ECO:0000269|PubMed:12154076}.;SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16157329}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:16157329, ECO:0000269|PubMed:8617200}.",7.77E-05,2.466654241,+,37,26.9,26.9,26.9,186.79,323.31,1488200000,2608600000,3668800000,Q14766;Q9NS15,Q14766,Latent-transforming growth factor beta-binding protein 1,LTBP1,sp|Q14766|LTBP1_HUMAN Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4
